word;definition
disabuse;correct a false impression
chasten;correct by punishment or scolding
reconcile;correct inconsistencies
orthography;correct spelling
emendation;correction of errors
congruence;correspondence of parts
commensurate;corresponding in extent
vitriolic;corrosive
debauch;corrupt
perversion;corruption
mentor;counselor
barrister;counselor-at-law
bogus;counterfeit
yokel;country bumpkin
mettle;courage
pluck;courage
tribunal;court of justice
chivalrous;courteous
deference;courteous regard for another's wish
comity;courtesy
glaze;cover with a thin and shiny surface
craven;cowardly
pusillanimous;cowardly
quail;cower
bovine;cowlike
crevice;crack
machiavellian;crafty
hurtle;crash
grovel;crawl or creep on ground
zany;crazy
statutory;created by the statute or legislative action
predator;creature that seizes and devours another animal
credo;creed
fissure;crevice
juncture;crisis
censorious;critical
stricture;critical comments
animadversion;critical remark
pan;criticize harshly
askew;crookedly
horde;crowd
throng;crowd
diadem;crown
fell;cruel
pulverize;crush or grind into very small particles
exclaim;cry out suddenly
artful;cunning
wily;cunning
therapeutic;curative
elixir;cure-all
panacea;cure-all
bane;curse
execrate;curse
imprecation;curse
malediction;curse
aquiline;curved
convex;curving outward
wont;custom
sever;cut
excise;cut away
prune;cut away
retrench;cut down
amputate;cut off part of body
fell;cut or knock down
truncate;cut the top off
hew;cut to pieces with ax or sword
incisive;cutting
diurnal;daily
quotidian;daily
marred;damage
perdition;damnation
dank;damp
humid;damp
fop;dandy
hazardous;dangerous
audacious;daring
obscure;dark
opaque;dark
swarthy;dark
murky;dark and gloomy
eclipse;darken
obscure;darken
bolt;dash or dart off
harbinger;dau hieu
resplendent;dazzling
defunct;dead
stalemate;deadlock
lethal;deadly
demise;death
obituary;death notice
libertine;debauched person
decadence;decay
decomposition;decay
guile;deceit
delude;deceive
hoodwink;deceive
illusive;deceiving
artifice;deception
delusive;deceptive
illusory;deceptive
conclusive;decisive
hatch;deck opening
manifesto;declaration
avow;declare openly
decipher;decode
adorn;decorate
garnish;decorate
embroider;decorate with needlework
wane;decrease in size or strength
ordinance;decree
edict;decree (especially one issued by a sovereign)
ordain;decree or command
consecrate;dedicate
infer;deduce
exploit;deed or action
profound;deep
woe;deep
ignominy;deep disgrace
tureen;deep dish for serving soup
inveterate;deep-rooted
ingrained;deeply established
slander;defamation
libel;defamatory statement
discredit;defame
foil;defeat
rampart;defensive mound of earth
mulct;defraud a person of something
demean;degrade
crestfallen;dejected
tarry;delay
defer;delay till later
belated;delayed
calculated;deliberately planned
filigree;delicate
finesse;delicate skill
render;deliver
consign;deliver officially
acquittal;deliverance from a charge
cataclysm;deluge
hallucination;delusion
peremptory;demanding and leaving no choice
laborious;demanding much work or care
disavowal;denial
centigrade;denoting a widely used temperature scale (basically same as Celsius)
panoramic;denoting an unobstructed and comprehensive view
inveigh;denounce
fulminate;denounce thunderously
gainsay;deny
renege;deny
abscond;depart secretly and hide
exodus;departure
contingent;depend on
despondent;depressed
disenfranchise;deprive of a civil right
bereft;deprived of
deducible;derived by reasoning
posterity;descendants
lineage;descent
sacrilegious;desecrating
forsake;desert
renegade;deserter
defection;desertion
culpable;deserving blame
reprehensible;deserving blame
venerable;deserving high respect
invidious;designed to create ill will or envy
scurvy;despicable
annihilate;destroy
corrode;destroy by chemical action
obliterate;destroy completely
raze;destroy completely
defoliate;destroy leaves
demolition;destruction
holocaust;destruction by fire
carnage;destruction of life
baneful;destructive
resolution;determination
resolve;determination
canvass;determine or seek opinions
bent;determined
dogged;determined
abhor;detest
loathe;detest
abominable;detestable
odium;detestation
depose;dethrone
swerve;deviate
die;device for stamping or impressing
diabolical;devilish
sensual;devoted to the pleasures of the senses
pious;devout
piety;devoutness
sleight;dexterity
lexicon;dictionary
divergent;differing
diverse;differing in some characteristics
fastidious;difficult to please
delve;dig
quarry;dig into
exhume;dig out of the ground
disinter;dig up
unearth;dig up
discursive;digressing
quandary;dilemma
assiduous;diligent
industrious;diligent
sedulous;diligent
application;diligent attention
sap;diminish
refectory;dining hall
protocol;diplomatic etiquette
beeline;direct
subsidy;direct financial aid by government
seedy;dirty
incapacitate;disable
dissent;disagree
disapprobation;disapproval
calamity;disaster
dire;disastrous
insightful;discerning
exude;discharge
recant;disclaim or disavow
faze;disconcert
dissonance;discord
cacophonous;discordant
rebate;discount
dishearten;discourage
bandy;discuss lightly or glibly
sardonic;disdainful
virus;disease communicator
unravel;disentangle
camouflage;disguise
dissemble;disguise
fulsome;disgustingly excessive
downcast;disheartened
unkempt;disheveled
skulduggery;dishonest behavior
dissolution;disintegration
disaffected;disloyal
appall;dismay
insubordination;disobedience
contumacious;disobedient
unruly;disobedient
disclaim;disown
repudiate;disown
belittle;disparage
flaunt;display ostentatiously
provident;displaying foresight
sanctimonious;displaying ostentatious or hypocritical devoutness
clemency;disposition to be lenient
refute;disprove
contest;dispute
impugn;dispute or contradict (often in an insulting way)
discount;disregard
notoriety;disrepute
dissident;dissenting
heterogeneous;dissimilar
profligate;dissipated
disband;dissolve
girth;distant around something
unpalatable;distasteful
unsavory;distasteful
cloying;distasteful (because excessive)
discernible;distinguishable
awry;distorted
caricature;distortion
tribulation;distress
disseminate;distribute
perturb;disturb greatly
ramify;divide into branches or subdivisions
partition;divide into parts
stratified;divided into classes
bifurcated;divided into two branches
charisma;divine gift
schism;division
canto;division of a long poem
stanza;division of a poem
tractable;docile
quay;dock
cardiologist;doctor specializing in ailments of the heart
podiatrist;doctor who treats ailments of the feet
tenet;doctrine
homespun;domestic
hegemony;dominance
imperious;domineering
fulcrum;don bay
nocturnal;done at night
bolt;door bar
potion;dose (of liquid)
duplicity;double-dealing
skeptic;doubter
problematic;doubtful
misgivings;doubts
quench;douse or extinguish
declivity;downward slope
conscript;draftee
oratorio;dramatic poem set to music
limn;draw
elicit;draw out by discussion
liability;drawback
